path	sha256	bytes	description
artifacts/EXP002C3/host_probe_output/exp002c3-host-probe.log	d2a52ecbf6da1f1651d3028912e012cd48b68e098fa920f002816bf84a84021a	7920	Phase 1 host-topology probe kernel log
artifacts/EXP002C3/host_probe_output/host_topology_report.json	93a4943ffd3e77c6e9677fd2ce3cc5e390c4c9f118f4690d5562dcae51fb6799	2125	Phase 1 host-topology probe raw JSON output
artifacts/EXP002C3/pilot_kernel_output/arc_compressor.py	7a89e502c1106f419dc34374aea858fa4182eb605ecbf9a473ca47da655a97ce	7111	Vendored/driver source as executed on Kaggle (byte-identical to committed source)
artifacts/EXP002C3/pilot_kernel_output/exp002c3-b1b2-vcpu-throughput.log	09d95bc68e52982b85b5a3b5ee48366ec56e71c93756136fd7268bc34dda5e5a	32497	Full B1/B2 kernel stdout/stderr log
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/b1b2_report.json	1c3ff3057983a46f965c175eda486a8a684e52963183e8e74d4a386b1ae967d6	8609	B1/B2 aggregate analysis report (candidate/oracle/throughput metrics)
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/config_B1.json	340dadf8d65d6412406577669bd2bf50289e477251d45a2bedae7a06bd9eeb69	3708485	B1 raw per-process launch/completion record
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/config_B2.json	8a27fddc2f592b2a44cf560f5193e08b890345e9e9e4bec93839cb4f222a1a71	3858539	B2 wave 1 raw per-process launch/completion record
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/config_B2_wave2.json	2518290887a1aa0d0bc1f41e3a1b7db454f479fae56f62dea542d19eb40b9671	5181689	B2 wave 2 raw per-process launch/completion record
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B1_00576224.json	272d0e1b3781923b7563518b55623618d56d726a1263356f2662cd91228e9965	112552	Per-task CompressARC solve result (candidates, steps, timing)
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B1_00576224.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	Per-task subprocess stdout/stderr log
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B1_009d5c81.json	ad1d86631feb463e5bd5ba078957bfb067f60d35cfea1982ff23451564148bfa	352203	Per-task CompressARC solve result (candidates, steps, timing)
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B1_009d5c81.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	Per-task subprocess stdout/stderr log
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B1_0520fde7.json	4d1b11e880f0f82d537e2df1e638ecbf0c6d9b2634b836ed96bd86f34e617319	12681	Per-task CompressARC solve result (candidates, steps, timing)
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B1_0520fde7.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	Per-task subprocess stdout/stderr log
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B1_42f83767.json	dda2b5dbe6e879f303ece25c5e089086fe8fb0b5ca3cbfeba233dfd60824988f	59424	Per-task CompressARC solve result (candidates, steps, timing)
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B1_42f83767.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	Per-task subprocess stdout/stderr log
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B1_8abad3cf.json	9f25830d182a11cb62a4b306fffa4e7e3389b68e949da72aee603b06d5b3427e	5255	Per-task CompressARC solve result (candidates, steps, timing)
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B1_8abad3cf.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	Per-task subprocess stdout/stderr log
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B2_00576224.json	e947c2ea033f3ec0f6f087a968bbc26862a2dba37db73387f2d4aa6b2ec41f26	151261	Per-task CompressARC solve result (candidates, steps, timing)
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B2_00576224.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	Per-task subprocess stdout/stderr log
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B2_009d5c81.json	2566162cf13e544b17a7e39e5287859886356e76b3bd28498de169f843067629	408708	Per-task CompressARC solve result (candidates, steps, timing)
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B2_009d5c81.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	Per-task subprocess stdout/stderr log
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B2_wave2_0520fde7.json	a6d2702c9bf2e1c1236e8c7ae819b25e6637f1792ac7ebdb079719531cad3530	12645	Per-task CompressARC solve result (candidates, steps, timing)
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B2_wave2_0520fde7.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	Per-task subprocess stdout/stderr log
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B2_wave2_42f83767.json	00cb5dc8c6633e1f841d4cbb68562d866749e000d4fb25b2add979834d65ebc8	698961	Per-task CompressARC solve result (candidates, steps, timing)
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B2_wave2_42f83767.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	Per-task subprocess stdout/stderr log
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B2_wave2_8abad3cf.json	b3be872abaaf6d4f2a20638517b8781010fc3899bd4a2efeebb5d8d3808bfec9	7033	Per-task CompressARC solve result (candidates, steps, timing)
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/per_task/B2_wave2_8abad3cf.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	Per-task subprocess stdout/stderr log
artifacts/EXP002C3/pilot_kernel_output/exp002c3_pilot/telemetry_monitor.log	456ae4d20cfcf1d53d8884a69a888cb754c7fef363be49cdd6677e16dc79a589	775921	2s-cadence GPU/CPU/RAM telemetry log for the whole kernel lifetime
artifacts/EXP002C3/pilot_kernel_output/initializers.py	d90ecdbef1aa555f8c3559abe6b1a9bf2e028dcc73b81e892bc4e70591338e4b	7041	Vendored/driver source as executed on Kaggle (byte-identical to committed source)
artifacts/EXP002C3/pilot_kernel_output/layers.py	548f767ec5b634d74a185465788dbcf86af8fa63b1413a1f380f0e9766216baf	28240	Vendored/driver source as executed on Kaggle (byte-identical to committed source)
artifacts/EXP002C3/pilot_kernel_output/multitensor_systems.py	641fa6d55b5583d8565326e5213459d5a4b2b7423d83fad1999476bc2aee4f4c	7726	Vendored/driver source as executed on Kaggle (byte-identical to committed source)
artifacts/EXP002C3/pilot_kernel_output/preprocessing.py	856ebf465145dfb7f7c8a9f78bc88e8b860304a529dc18a8cdc3b0b241459d0d	7103	Vendored/driver source as executed on Kaggle (byte-identical to committed source)
artifacts/EXP002C3/pilot_kernel_output/scoring.py	5595435ba002b8808d22288b8cc2db429bd811104de83fa185a65a0fa483208c	2470	Vendored/driver source as executed on Kaggle (byte-identical to committed source)
artifacts/EXP002C3/pilot_kernel_output/solution_selection.py	9af63d79202fa90b6e3374ea4e7e74beb5b3065bbea2b4c019ef0ec261323f04	9454	Vendored/driver source as executed on Kaggle (byte-identical to committed source)
artifacts/EXP002C3/pilot_kernel_output/solve_task_cli.py	64dc12c2e64b8242dfd1d88d6f6616b5c1c4205ee58f5845085f08e32762357e	4263	Vendored/driver source as executed on Kaggle (byte-identical to committed source)
artifacts/EXP002C3/pilot_kernel_output/train.py	a1f3541bd08a9f0d614c98c063c64039ae4de451163712f4e8c1534c946ddcaf	7298	Vendored/driver source as executed on Kaggle (byte-identical to committed source)
artifacts/EXP002C3/pilot_kernel_output/visualization.py	4f327dbf7c671fffea75f6fa37082e4e7b06a2de6156e85a619461ffacd1a416	8549	Vendored/driver source as executed on Kaggle (byte-identical to committed source)
