1785001823.5902877|gpu:0, 0, 3, 15360, 9.66, 37;1, 0, 3, 15360, 9.07, 41|host:cpu=0.0;percpu=[0.0, 0.0, 0.0, 0.0];load1=0.29052734375;ram_used_mib=1050;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
1785001825.7100825|gpu:0, 0, 3, 15360, 10.16, 37;1, 0, 3, 15360, 10.46, 41|host:cpu=100.0;percpu=[100.0, 100.0, 100.0, 100.0];load1=0.29052734375;ram_used_mib=2008;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
1785001827.8470912|gpu:0, 0, 3, 15360, 10.85, 37;1, 0, 13, 15360, 25.87, 42|host:cpu=95.4;percpu=[96.7, 95.3, 94.4, 94.8];load1=0.66796875;ram_used_mib=2389;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
1785001829.9349735|gpu:0, 75, 381, 15360, 41.08, 40;1, 3, 151, 15360, 25.67, 42|host:cpu=90.7;percpu=[93.8, 90.0, 90.5, 89.0];load1=0.66796875;ram_used_mib=2870;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
1785001832.0295708|gpu:0, 0, 383, 15360, 26.46, 40;1, 6, 277, 15360, 25.77, 42|host:cpu=94.6;percpu=[95.7, 94.7, 94.2, 94.3];load1=1.01513671875;ram_used_mib=3131;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
1785001834.1029437|gpu:0, 0, 383, 15360, 26.56, 40;1, 0, 277, 15360, 25.57, 43|host:cpu=77.3;percpu=[77.3, 77.3, 75.8, 78.0];load1=1.01513671875;ram_used_mib=3238;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
1785001836.1699593|gpu:0, 4, 473, 15360, 26.86, 40;1, 1, 317, 15360, 25.67, 43|host:cpu=80.4;percpu=[81.9, 80.5, 80.5, 79.0];load1=1.01513671875;ram_used_mib=4087;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
1785001838.2605498|gpu:0, 79, 561, 15360, 32.76, 41;1, 55, 701, 15360, 27.63, 43|host:cpu=85.9;percpu=[85.6, 87.0, 86.3, 85.0];load1=1.33447265625;ram_used_mib=5124;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
1785001840.3434024|gpu:0, 62, 973, 15360, 42.54, 42;1, 56, 2137, 15360, 36.57, 45|host:cpu=99.8;percpu=[100.0, 100.0, 99.5, 100.0];load1=1.33447265625;ram_used_mib=5758;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
1785001842.4295006|gpu:0, 90, 975, 15360, 38.42, 43;1, 45, 2177, 15360, 37.63, 45|host:cpu=99.9;percpu=[100.0, 100.0, 99.5, 100.0];load1=1.62841796875;ram_used_mib=6070;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
1785001844.5141213|gpu:0, 100, 979, 15360, 43.10, 44;1, 46, 2177, 15360, 36.84, 46|host:cpu=100.0;percpu=[100.0, 100.0, 100.0, 100.0];load1=1.62841796875;ram_used_mib=6140;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
1785001846.6002972|gpu:0, 65, 983, 15360, 40.17, 44;1, 55, 2177, 15360, 38.62, 46|host:cpu=100.0;percpu=[100.0, 99.5, 100.0, 100.0];load1=1.62841796875;ram_used_mib=6218;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
1785001848.685923|gpu:0, 82, 983, 15360, 42.81, 45;1, 43, 2215, 15360, 44.16, 47|host:cpu=100.0;percpu=[100.0, 100.0, 100.0, 100.0];load1=1.8984375;ram_used_mib=6233;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
1785001850.7669609|gpu:0, 100, 983, 15360, 39.60, 45;1, 55, 2215, 15360, 39.01, 47|host:cpu=100.0;percpu=[100.0, 100.0, 99.5, 100.0];load1=1.8984375;ram_used_mib=6291;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
1785001852.8497913|gpu:0, 98, 983, 15360, 39.70, 46;1, 39, 2215, 15360, 39.68, 48|host:cpu=100.0;percpu=[100.0, 100.0, 100.0, 99.5];load1=2.14697265625;ram_used_mib=6291;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
1785001854.9342535|gpu:0, 99, 983, 15360, 34.99, 46;1, 15, 2223, 15360, 36.94, 48|host:cpu=100.0;percpu=[100.0, 100.0, 100.0, 100.0];load1=2.14697265625;ram_used_mib=6309;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
1785001857.0217173|gpu:0, 97, 983, 15360, 43.10, 47;1, 35, 2223, 15360, 37.63, 49|host:cpu=100.0;percpu=[100.0, 100.0, 100.0, 100.0];load1=2.37548828125;ram_used_mib=6323;ram_total_mib=32100;swap_used_mib=0;disk_used_gib=0.00
