1784983395.2905|0, 0, 3, 15360;1, 0, 3, 15360
1784983397.3346086|0, 0, 3, 15360;1, 0, 3, 15360
1784983399.3743036|0, 0, 129, 15360;1, 0, 3, 15360
1784983401.4152339|0, 0, 129, 15360;1, 0, 3, 15360
1784983403.4569337|0, 0, 159, 15360;1, 0, 3, 15360
1784983405.4971514|0, 39, 221, 15360;1, 0, 3, 15360
1784983407.5378823|0, 38, 223, 15360;1, 0, 3, 15360
1784983409.5786934|0, 22, 223, 15360;1, 0, 3, 15360
1784983411.6181822|0, 18, 223, 15360;1, 0, 3, 15360
1784983413.6582153|0, 38, 223, 15360;1, 0, 3, 15360
1784983415.6984217|0, 22, 223, 15360;1, 0, 3, 15360
1784983417.7383387|0, 22, 223, 15360;1, 0, 3, 15360
1784983419.7779593|0, 37, 223, 15360;1, 0, 3, 15360
1784983421.8179758|0, 39, 223, 15360;1, 0, 3, 15360
1784983423.8584764|0, 22, 223, 15360;1, 0, 3, 15360
1784983425.8987043|0, 23, 223, 15360;1, 0, 3, 15360
1784983427.9390526|0, 39, 223, 15360;1, 0, 3, 15360
1784983429.9794064|0, 32, 223, 15360;1, 0, 3, 15360
1784983432.0200076|0, 23, 223, 15360;1, 0, 3, 15360
1784983434.0598795|0, 33, 223, 15360;1, 0, 3, 15360
1784983436.1004486|0, 38, 223, 15360;1, 0, 3, 15360
1784983438.1402972|0, 19, 223, 15360;1, 0, 3, 15360
1784983440.1806087|0, 23, 223, 15360;1, 0, 3, 15360
1784983442.2221265|0, 41, 223, 15360;1, 0, 3, 15360
1784983444.263163|0, 10, 223, 15360;1, 0, 3, 15360
1784983446.303031|0, 24, 223, 15360;1, 0, 3, 15360
1784983448.343009|0, 33, 223, 15360;1, 0, 3, 15360
1784983450.383334|0, 38, 223, 15360;1, 0, 3, 15360
1784983452.4239156|0, 15, 223, 15360;1, 0, 3, 15360
1784983454.466929|0, 24, 223, 15360;1, 0, 3, 15360
1784983456.5081904|0, 39, 223, 15360;1, 0, 3, 15360
1784983458.5495417|0, 11, 223, 15360;1, 0, 3, 15360
1784983460.59019|0, 22, 223, 15360;1, 0, 3, 15360
1784983462.6305423|0, 30, 223, 15360;1, 0, 3, 15360
1784983464.6724527|0, 39, 223, 15360;1, 0, 3, 15360
1784983466.7131045|0, 23, 223, 15360;1, 0, 3, 15360
1784983468.753866|0, 24, 223, 15360;1, 0, 3, 15360
1784983470.7947469|0, 37, 223, 15360;1, 0, 3, 15360
1784983472.8372283|0, 25, 223, 15360;1, 0, 3, 15360
1784983474.8769424|0, 23, 223, 15360;1, 0, 3, 15360
1784983476.9177263|0, 21, 223, 15360;1, 0, 3, 15360
1784983478.9573066|0, 39, 223, 15360;1, 0, 3, 15360
1784983480.9971642|0, 22, 223, 15360;1, 0, 3, 15360
1784983483.0374224|0, 21, 223, 15360;1, 0, 3, 15360
1784983485.0778246|0, 30, 223, 15360;1, 0, 3, 15360
1784983487.1206715|0, 38, 223, 15360;1, 0, 3, 15360
1784983489.161517|0, 16, 223, 15360;1, 0, 3, 15360
1784983491.2027168|0, 23, 223, 15360;1, 0, 3, 15360
1784983493.2436526|0, 38, 223, 15360;1, 0, 3, 15360
1784983495.284521|0, 11, 223, 15360;1, 0, 3, 15360
1784983497.3248966|0, 23, 223, 15360;1, 0, 3, 15360
1784983499.3656323|0, 26, 223, 15360;1, 0, 3, 15360
1784983501.4068716|0, 34, 223, 15360;1, 0, 3, 15360
1784983503.4477448|0, 14, 223, 15360;1, 0, 3, 15360
1784983505.488257|0, 23, 223, 15360;1, 0, 3, 15360
1784983507.5293267|0, 30, 223, 15360;1, 0, 3, 15360
1784983509.5708718|0, 40, 223, 15360;1, 0, 3, 15360
1784983511.612173|0, 11, 223, 15360;1, 0, 3, 15360
1784983513.6520188|0, 23, 223, 15360;1, 0, 3, 15360
1784983515.6941845|0, 38, 223, 15360;1, 0, 3, 15360
1784983517.7348146|0, 41, 223, 15360;1, 0, 3, 15360
1784983519.7744079|0, 21, 223, 15360;1, 0, 3, 15360
1784983521.8147612|0, 20, 223, 15360;1, 0, 3, 15360
1784983523.854765|0, 39, 223, 15360;1, 0, 3, 15360
1784983525.8954546|0, 16, 223, 15360;1, 0, 3, 15360
1784983527.9354525|0, 25, 223, 15360;1, 0, 3, 15360
1784983529.9756258|0, 39, 223, 15360;1, 0, 3, 15360
1784983532.016319|0, 38, 223, 15360;1, 0, 3, 15360
1784983534.0563216|0, 23, 223, 15360;1, 0, 3, 15360
1784983536.0971558|0, 34, 223, 15360;1, 0, 3, 15360
1784983538.1369112|0, 39, 223, 15360;1, 0, 3, 15360
1784983540.1771662|0, 24, 223, 15360;1, 0, 3, 15360
1784983542.2181177|0, 23, 223, 15360;1, 0, 3, 15360
1784983544.2588315|0, 40, 223, 15360;1, 0, 3, 15360
1784983546.2990172|0, 28, 223, 15360;1, 0, 3, 15360
1784983548.3394315|0, 24, 223, 15360;1, 0, 3, 15360
1784983550.3796213|0, 40, 223, 15360;1, 0, 3, 15360
1784983552.4208035|0, 38, 223, 15360;1, 0, 3, 15360
1784983554.4610927|0, 23, 223, 15360;1, 0, 3, 15360
1784983556.502407|0, 24, 223, 15360;1, 0, 3, 15360
1784983558.5425272|0, 36, 223, 15360;1, 0, 3, 15360
1784983560.5823095|0, 24, 223, 15360;1, 0, 3, 15360
1784983562.6225524|0, 24, 223, 15360;1, 0, 3, 15360
1784983564.662889|0, 40, 223, 15360;1, 0, 3, 15360
1784983566.7028277|0, 26, 223, 15360;1, 0, 3, 15360
1784983568.7423797|0, 24, 223, 15360;1, 0, 3, 15360
1784983570.7829826|0, 38, 223, 15360;1, 0, 3, 15360
1784983572.8237422|0, 39, 223, 15360;1, 0, 3, 15360
1784983574.863974|0, 23, 223, 15360;1, 0, 3, 15360
1784983576.9054031|0, 24, 223, 15360;1, 0, 3, 15360
1784983578.946607|0, 38, 223, 15360;1, 0, 3, 15360
1784983580.987542|0, 10, 223, 15360;1, 0, 3, 15360
1784983583.0274477|0, 23, 223, 15360;1, 0, 3, 15360
1784983585.0695863|0, 39, 223, 15360;1, 0, 3, 15360
1784983587.110681|0, 28, 223, 15360;1, 0, 3, 15360
1784983589.1515713|0, 23, 223, 15360;1, 0, 3, 15360
1784983591.1923761|0, 22, 223, 15360;1, 0, 3, 15360
1784983593.23298|0, 38, 223, 15360;1, 0, 3, 15360
1784983595.2742016|0, 13, 223, 15360;1, 0, 3, 15360
1784983597.314863|0, 24, 223, 15360;1, 0, 3, 15360
1784983599.3561928|0, 40, 223, 15360;1, 0, 3, 15360
1784983601.3974545|0, 38, 223, 15360;1, 0, 3, 15360
