path	kind
experiments/DATA001B/PLAN.md	doc
experiments/DATA001B/BASELINE_SPEC.md	doc
experiments/DATA001B/COVERAGE_METRIC_SPEC.md	doc
experiments/DATA001B/CURRICULUM_SPEC.md	doc
experiments/DATA001B/LEAKAGE_POLICY.md	doc
experiments/DATA001B/DATASET_SELECTION_SPEC.md	doc
experiments/DATA001B/EVALUATION_USE_POLICY.md	doc
experiments/DATA001B/DESCRIPTOR_CATALOG.md	doc
experiments/DATA001B/SCENE_DISTRIBUTION.md	doc
experiments/DATA001B/FAMILY_CATALOG.md	doc
experiments/DATA001B/SELECTION_OBJECTIVE.md	doc
experiments/DATA001B/LEAKAGE_AUDIT.md	doc
experiments/DATA001B/COVERAGE_ANALYSIS.md	doc
experiments/DATA001B/INTERNAL_GENERALIZATION.md	doc
experiments/DATA001B/HARDWARE_PROJECTION.md	doc
experiments/DATA001B/MODEL_PILOT_PLAN.md	doc
experiments/DATA001B/RESULTS.md	doc
experiments/DATA001B/RESOURCE_ANALYSIS.md	doc
docs/DATA001B_DECISION.md	doc
artifacts/DATA001B/pool/tasks.jsonl.gz	artifact
artifacts/DATA001B/pool/programs.jsonl.gz	artifact
artifacts/DATA001B/pool/pool_manifest.json	artifact
artifacts/DATA001B/pool/generation_summary.json	artifact
artifacts/DATA001B/tasks_train.jsonl.gz	artifact
artifacts/DATA001B/tasks_validation.jsonl.gz	artifact
artifacts/DATA001B/programs.jsonl.gz	artifact
artifacts/DATA001B/dataset_manifest.json	artifact
artifacts/DATA001B/family_manifest.json	artifact
artifacts/DATA001B/selection_trace.jsonl.gz	artifact
artifacts/DATA001B/quarantined_tasks.jsonl.gz	artifact
