artifacts/GEN002B/validation_manifest.json	e09809310d69af7ea8756ad6f58d0ec37fe14699ca00c7be9f3ad4f5cfa95da3	24461	Fresh 24-index validation manifest
artifacts/GEN002B/frozen_config.json	1c7632e42d8f8ed25d6c0d24e1560d64633cd07b742a074a4ea2ae1008c04eb3	2011	Frozen benchmark-selected GEN002-B configuration
artifacts/GEN002B/benchmark_summary.json	6d307e8e18c8fcae5ded2ca89fdfebdc768759d95b2270c03791941b552e4b59	3588	TRAIN/DEV benchmark summary
artifacts/GEN002B/benchmark_rows.json	c230d14caadbf3bd677b2495aa33f8dd062dd4097e44a888c07fac4b28fdde13	21152	Per-index TRAIN/DEV benchmark outcomes
artifacts/GEN002B/benchmark_candidates.jsonl.gz	6b11f49d3b686a6d36fa9da523bea9cc530ee8084a688e64ecb3f97a255460ce	376	TRAIN/DEV emitted candidates
artifacts/GEN002B/candidates.jsonl.gz	9c75673f0a017f917dd47e5446add1e563eba06cc1dff8102e73613c2e521747	42	Fresh validation emitted candidates
artifacts/GEN002B/task_summary.csv	0132a3250eb0beae0f0fdfc4bcf77390dece1d8d7def9a9e2e7aa9d3d29e26f3	1032	Fresh validation per-index task summary
artifacts/GEN002B/runtime_summary.json	bd3bd41a5bedf6578893dda434d343ff1e44793a8b8849bd3853baa66f625f7b	114	Fresh validation runtime summary
artifacts/GEN002B/offline_analysis.json	85ff556d9c01d2d53deb049747e9fc260eeb3b9dffdac9f0ae25d2be162a3002	6499	Fresh validation offline analysis
src/gen002b/runner.py	d297138ac2f6b7464a127bda469a16fe67d92c835d8026f542a82f8c41c0c09f	12881	GEN002-B benchmark and validation runner
src/gen002b/offline_analysis.py	df48d3390506b3e80dea7bfa915a819f24957f9f0ca3128b02026328de63c38d	4775	GEN002-B offline analysis driver
src/gen002b/build_validation_manifest.py	1e14ae3479b5d50d4543d9b8ee9079513f19e008b4c3ccfab6dd1ac6e09f2c27	12110	GEN002-B validation-manifest builder
src/candidate_union/three_way_analysis.py	a3716bd9684a225af54c8f1fa7cb0b4e8a176acdfce5dc31205e28eb534916d0	695	Future three-way analysis metric spec
